,rev_id,sent_text,category,sentiment
5000,655152325,"Received exactly what we booked, good sized room, good amenities, just not as practical as it should be.",room,1
5001,655152325,Bed is rock hard.,room,-1
5002,655152325,"Pillows are very good, but the bed kills your back.  ",room,-1
5003,655152325,"You are a number only at this hotel, it is a great engineering feat but lags badly in being a warm feeling luxury hotel.",service,-1
5004,655152325,We booked to use the club lounge and this was warmly met by the staff who were very nice and remembered us after a few visits.,service,1
5005,655152325,The club is large but it needs to be as many guests have access.,service,0
5006,655152325,"It has no feeling of exclusiveness, once full it has the feeling of a cheap cafeteria.",food,-1
5007,655152325,"There are kids everywhere, no control with them, food on the floor and not cleaned up after they left.",food,-1
5008,655152325,This was at multiple tables.,,0
5009,655152325,Evening drinks should be drinks and,food,0
5011,655142731,There is something for everyone.,,0
5012,655142731,From top designers to the truly unique.,,1
5013,655142731,Restaurants from 5 star to a food court.,food,0
5014,655142731,If you visit plan on being here for quite a while.,,0
5015,655142731,It is very large .,,0
5016,655142731,I think what coughs my eye first were the boats inside .,,0
5018,655118745,Stayed at MBS for 2 nights with 4 other couples.,,0
5020,655118745,Amazing facility where you don't have to go elsewhere to find food and lots of shopping.,others,1
5021,655118745,Food court was amazing!.,food,1
5022,655118745,Check-in staff very professional and accommodating.,service,1
5023,655118745,Had 2 morning breakfast which is up on the 57th floor by the poolside.,food,0
5025,655118745,"Kudos to waiters like Angelo, Rev and James for doing a superb job in taking good care of us.",service,1
5026,655118745,These people are so wonderful and very friendly.,service,1
5027,655118745,We will definitely stay again at MBS next time we travel to Singapore.,,1
5028,655118745,"Almost forgot, the view while you're on the pool on 57th floor is nothing short of spectacular, especially at night.",pool,1
5029,655118745,Make sure you give yourself time to relax on the pool- you'll be amazed.,pool,1
5030,655118745,You will run out of selfie poses.,,0
5031,655116728,We had one of the best rooms with great view overlooking river.,room,1
5032,655116728,Unfortunately the room itself is a little outdated.,room,-1
5033,655116728,You don’t feel specialty even with upgrades.,,0
5034,655116728,The only amazing thing is infinity pool and you pay mainly for this .,pool,1
5035,655116728,In general hotel is overpriced.,,0
5036,655116728,Service is not helpful.,service,-1
5037,655116728,We got charged 3 times more for taxi on the way to airport which was very disappointing.,,-1
5038,655111233,We stayed one night in a deluxe king garden view room which was around S$530.,room,0
5039,655111233,Arrived 3 hours before check in and were delighted to be checked in early with staff friendly and very helpful.,service,1
5041,655111233,"Room was very nicely decorated, clean and the view was amazing...",room,1
5042,655111233,we were up around the 30th floor with a balcony overlooking the gardens at the bay.,room,0
5043,655111233,"Good shower, firm bed and good air-conditioning.",room,1
5044,655111233,"  Infinity pool is a must...amazing views, albeit very busy as expected with no shade.",pool,-1
5046,655111233,"Cocktails at Spago Bar S$26 each, however very well made.",food,1
5047,655111233,Recommend the skydeck.,others,1
5048,655111233,Room service ordered the night before for breakfast delivered on a table exactly on time and perfectly cooked.,food,1
5050,655111233,Definitely worth the extra cost to stay at such an iconic location.,,0
5052,655111233,The only negative I could see is that,,0
5054,655110310,Stayed here during the formula 1....absolutely loved the pool...,pool,1
5055,655110310,the pool can be busy but there is always some place where you can sit down... when they saw we were with a little kid they arranged an early check inn with Some extra pay....,pool,0
5056,655110310,that was great....,,0
5057,655110310,the hotel for sure is expensive but its definately worth it.,,0
5059,655110310,The good: - amazing pool and also the rest of the skypark is great  - Nice room with a great view - great atmosphere...its really alive - check inn and check out proces.,service,1
5061,655110310,What can be better: - I missed the old bathroom amenities.,room,0
5062,655110310,The new merk was less good.,,1
5063,655110310,- it took considerable time before the amount quaranteed via my creditcard was finally settled.,,0
5064,655110310,- its expensive.,,0
5065,655065377,Our third stay and we will never tire of the marvellous rooftop pool and views.,pool,0
5066,655065377,Pricey but worth it.,,1
5067,655065377,Poolside snacks were very good value.,food,1
5068,655065377,We prefer the rooms overlooking the harbour as fascinating to see all the tankers moored up and the view over the Gardens of the Bay.,room,1
5069,655065377,Plenty opportunity to admire the city view from the rooftop.,others,1
5070,654944251,My wife and I went for 5 nights to Singapore.,,0
5071,654944251,"As we didn't get reservations for 1 of the 5 nights at Marina Bay Sands (where we spent the balance 4 nights), we stayed at the nearby Marina Mandarin.",,0
5073,654944251,"Our conclusion after the 5-day trip was that the Marina Mandarin was BETTER than Marina Bay Sands on all counts, except the choice of restaurants/bars at the latter.",food,1
5075,654944251,The Concierge Desk is not able to get reservations at in-hotel restaurants for hotel guests.,service,-1
5076,654944251,Waiting for Taxis is too long.,,-1
5077,654944251,The crowd at the Lobby is too large for a Luxury Hotel.,others,-1
5078,654939956,I stayed at this hotel for 1 night with my boyfriend on our stop over to Australia from the UK.,,0
5079,654939956,This hotel has been on my bucket list since the moment I saw it and it did not disappoint.,,1
5080,654939956,Yes the hotel is not the cheapest to stay at,,0
5081,654939956,but I promise its worth every penny spent and is good value for money.,,0
5082,654939956,You really do get what you pay for with this hotel <3,,0
5083,654939956,Few tips I picked up along the way...   *,,0
5084,654939956,* before you check in you need to check with some of the staff hovering by the check in queues which tower you are staying in.,service,0
5085,654939956,Each tower has its own check in desk and you don't want to queue in the wrong one,service,0
5086,654939956,"** we booked the ""standar"" room to keep the cost down and I use the term standard loosely.",room,0
5087,654939956,"The rooms are huge, the bed is huge, the shower is huge.",room,1
5088,654939956,There was a sofa and very nice,room,1
5089,654927443,"It’s clearly the most iconic hotel in Singapore but after staying there for two nights in a Club Room, it’s way overrated and overpriced - and thus the rating here at 2 stars.",room,0
5090,654927443,It was a nice room - but nice in terms of a mid range hotel brand nice.,room,0
5091,654927443,It’s also just a massive complex that there is no sense of personalisation and you are truly just a number at this hotel.,service,-1
5092,654927443,"There is also very little public areas to congregate, sit or wait in the lobby.",others,-1
5094,654927443,It does have great views of the gardens and is convenient if you plan to just shop and gamble.,others,1
5096,654927443,The pool was nice but again was underwhelming and rather crowded.,pool,-1
5098,654927443,I’d recommend a stay some place else and swing by for a drink on the rooftop at one of their bars.,  ,0
5100,654924941,"Rested with my husband in Singapore in the Marina Bay Sands hotel from 22-24.02.2019 in the Orchid Suite City View room on the 53rd floor, the view from the window over the city was amazing, in the evenings you can watch a laser show without leaving the room, on the roof of the hotel the 57th floor has a swimming pool and SkyPark, a viewing platform where you can enjoy the view of the city and take great photos, near the gardens and a huge shopping center, there is a museum and a casino.",,1
5101,654924941,The place is simply amazing and it takes more time to visit all places than we were and not only therefore.,,1
5102,654924941,"To swim and relax at the pool on, it was necessary to take places in advance, before breakfast.",pool,1
5103,654924941,"At breakfast, too, we had to wait in the queue for 20-30 minutes when the omelet was fried,",food,-1
5104,654921008,The reason I gave this title was because these big flash iconic hotels leave me cold.,,0
5105,654921008,"One night here cost £100 more than a week in Bali and that included breakfast, whereas this place didn't.",,0
5106,654921008,"But this isn't just about the hotel, it's a lot of Singapore I felt, very impersonal and not very friendly.",service,-1
5107,654921008,You have to wait in a fairly long queue to check in,service,0
5108,654921008,"but once you do the staff are very helpful but because my cards were on a security lock whilst I was abroad they locked the mini bar, so we couldn't even put the complimentary waters or anything else in there.",service,1
5109,654921008,The rooms are huge with a great view across the bay and with every facility you could want but with what you are paying so you should have.,room,1
5110,654921008,"We didn't eat at the hotel because value for money it is not, it's more of an experience",food,0
5111,654917344,Had a slightly tired room on 47th floor with club 55 access for a couple of nights.,room,-1
5112,654917344,People must come for pool photos as it was very busy and not at all relaxing.,pool,-1
5113,654917344,The same comments apply for the club 55 lounge.,food,0
5114,654917344,Massive hotel so you can't expect quiet.,,-1
5116,654917344,Obviously great views,room,1
5117,654917344,but I easily prefered Ritz Carlton opposite.,,0
5119,654749125,We stayed in the straits suite for one night and it was over the top.,room,1
5120,654749125,"We had a karaoke room, small gym, two bedrooms with one queen bed and two king beds and one of the bedrooms had a big bath, small kitchen corner, huge living room with a piano, dining table and sofas.",room,1
5121,654749125,"The room was on the 52th floor and the view was amazing ofcourse, especially at night.",room,1
5122,654749125,"Really loved the infinity pool on the roof, it was extremely cool and not frightening at all.",pool,1
5123,654672742,"Great room, view, infinity pool, breakfast, ... we loved it all!",food,1
5124,654672742,"Yes it is expensive, but it is worth the money for a one time experience :-)",,0
5125,654672742,We had a Club room in Tower 2 level 49 and the view from the room was great!,room,1
5126,654672742,We were lucky to even watch the fireworks from our huge room window.,others,1
5127,654672742,"We also went to the light show at Supertree Gardens by the Bay which was amazing, and the Hotel gave a perfect ""background"" due to its spectacular architecture!",others,1
5128,654646834,"One of the most iconic hotels in the world, boasting of the worlds largest infinity pool.",pool,1
5129,654646834,The hotel consists of innumerable restaurants but however are pretty full so a reservation might be required.,food,0
5130,654646834,The view is mind boggling,,0
5131,654621775,Stayed here for one night in a Premiere room.,room,0
5133,654621775,"The room was nice; very clean, comfortable and spacious with a beautiful City view on the 31st floor of he 2nd tower.",room,1
5134,654621775,We visited the Sky Park/infinity pool and it was incredible.,pool,1
5135,654621775,We went for a swim and enjoyed cocktails poolside.,food,0
5136,654621775,The views were incredible and the pool was amazing.,pool,1
5137,654621775,As a hotel guest we had free access to these facilities.,others,1
5138,654621775,"Others who are not staying at the hotel can't have access to the pool, but can have access to the bars and restaurants at the pool level for 22 SGD.",pool,0
5139,654621775,While at the hotel we also visited the gardens and mall that was adjacent to the hotel.,others,0
5140,654621775,We also ate at two of the restaurants --Rise and Blossom.,food,0
